"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"101","EPHA3",247.893619339822,0.436365968314889,0.202050576407042,0.00117422237574068,0.0329397334070873
"102","EPHB3",1454.9448828527,-0.312684672971416,0.0946765622139686,7.01490155091618e-05,0.00437299312554997
"103","EPN1",13555.4560040312,-0.376384560832323,0.11396152402767,5.82159111103992e-05,0.0037945785710614
"104","ERFE",2022.10438170616,-0.451848222489445,0.0867562058877562,1.1934331050224e-08,6.39137674698812e-06
"105","ETV4",669.515245415719,-0.286436281295436,0.120834068925618,0.00119193506505489,0.0332781491385705
"106","EVA1B",1477.14507305836,-0.273610145186851,0.128424904742665,0.0022032891640313,0.0497301780280016
"107","F12",387.595824178905,-0.495996824149083,0.152378979283976,5.59753670740962e-05,0.00372599872806215
"108","F13A1",96.6710865458373,-0.652257756891443,0.272034056904646,0.000591096665463078,0.0199550169412206
"109","FADS3",3342.23156919994,-0.312634796170175,0.0874971328822459,2.71850848611955e-05,0.00216415317455814
"110","FAM174C",1931.65750722943,-0.331054323177384,0.110189509731936,0.000176296598738364,0.00865469385973083
"111","FAT3",524.484679629178,0.535890966105521,0.163405223074379,4.54132867722585e-05,0.00314740791029853
"112","FBRSL1",11613.9424366512,-0.513710552958524,0.107490658376449,1.02758655668124e-07,3.27216886778876e-05
"113","FBXW5",4469.99392672931,-0.266838775396199,0.102928074859139,0.000754447581082672,0.0238514982854715
"114","FCRLA",3706.09564984175,0.585720451557613,0.0816180039715472,4.26377774229845e-14,8.37263822662672e-11
"115","FDX1",1142.50600416978,0.292673860198253,0.104277830827783,0.000351165134391734,0.0139777959912277
"116","FERMT3",13272.3663692897,-0.356134796566072,0.0877084378938984,3.45646231957242e-06,0.000490651072881955
"117","FGF8",1337.85319397815,-0.308726470820858,0.102865452777995,0.000190669789996338,0.00902197375797932
"118","FGFR4",48534.519761505,-0.471540014814449,0.085217322352654,1.98767892559173e-09,1.30104628340676e-06
"119","FGGY",1261.27438553934,0.314993647400424,0.104810693095132,0.000174067360641006,0.00861706572719466
"120","FHOD1",447.560423297214,-0.393676612407185,0.140454955798987,0.00026896871473889,0.0117132792415294
"121","FIZ1",2073.97902302651,-0.269374639485509,0.102056789752131,0.000649973904880238,0.0214509595162436
"122","FJX1",1845.01532593829,-0.285788176450913,0.102204453390895,0.000393176995432956,0.0152884863372643
"123","FLRT3",134.670916953097,0.629584408509906,0.249964957842434,0.000413248940310175,0.0156312775432617
"124","FOSL1",318.093921615244,-0.516416522235985,0.161708456610412,6.7547908630188e-05,0.00427876053484342
"125","GAA",8862.89640482025,-0.449851687910822,0.107396810969032,1.68686391503847e-06,0.000276036536763657
"126","GALNS",1310.18802272163,-0.313136738796593,0.10201325194008,0.000150602342732387,0.00785438302963132
"127","GALNT17",817.411829271889,-0.298715262648227,0.120918722110131,0.000881398813911862,0.0268336972235389
"128","GAS2L1",2255.22337494941,-0.340762930699817,0.128141598677063,0.000467193587743195,0.017147896731434
"129","GBX2",1127.38328312741,-0.305526481869599,0.101777683795311,0.000192120403118391,0.00905425035816355
"130","GDF15",1974.57741551359,-0.398359631154195,0.119961191549762,5.25548011960077e-05,0.00355862452696185
"131","GGT7",1667.33525416025,-0.264406936819872,0.104417986349081,0.000891758527153655,0.027009508912402
"132","GLIS3",402.508532225351,-0.348038630118186,0.153313480318298,0.00118862280382255,0.0332644985145779
"133","GPC1",11878.8873136304,-0.374959592316876,0.0954859869764241,5.61151330081052e-06,0.000708507490852011
"134","GPRC5C",520.279285681002,-0.350332919010019,0.131119567536492,0.000434214781088815,0.0161896156670519
"135","H2AX",19322.315349771,-0.395081375595701,0.100016052513546,4.85689261028156e-06,0.000642965266677948
"136","H3-3A",3508.7447736041,-4.89332223861276,0.0965988691814237,0,0
"137","H3P6",601.623108990461,-4.96748617860921,0.163493559558076,1.49563813391784e-203,8.81080424691001e-200
"138","HAGHL",1951.57654676643,-0.448281042800926,0.106616395276712,1.56056375400392e-06,0.000262665173566773
"139","HELZ2",3190.37314491552,-0.308118616693638,0.104256904144432,0.000221191396019629,0.0100828733916943
"140","HES4",776.752558426023,-0.297597912604364,0.140724689150912,0.00208505831993294,0.0479281927859427
"141","HES6",3917.49994823464,-0.425598900146581,0.0949135768032471,4.45021805514943e-07,0.000100831671395713
