"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"19204","LOC105373428",76.5104802424137,-0.0480722389669957,0.101243471944049,0.110247725544815,0.456322609669153
"19205","LOC105373429",2.96859137389574,-0.00013190254153533,0.087937459750739,0.978724700982777,NA
"19206","LOC105373430",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19207","LOC105373431",0,NA,NA,NA,NA
"19208","LOC105373432",0,NA,NA,NA,NA
"19209","LOC105373433",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19210","LOC105373436",0.780993880351547,0.00241552736827079,0.0881417476319648,0.322373509163727,NA
"19211","LOC105373437",0,NA,NA,NA,NA
"19212","LOC105373438",0,NA,NA,NA,NA
"19213","LOC105373440",0.603961117886336,-0.00127718236482756,0.088090841471074,0.623450822732337,NA
"19214","LOC105373443",1.99388690874938,0.00181845675606928,0.0880106343093531,0.704630942584712,NA
"19215","LOC105373444",0,NA,NA,NA,NA
"19216","LOC105373447",0,NA,NA,NA,NA
"19217","LOC105373448",3.00482764858576,0.00495063971037219,0.0881706613856334,0.341745479526526,NA
"19218","LOC105373449",122.229866110531,-0.0145445128448833,0.0832638027790674,0.634761073260853,0.878497545189599
"19219","LOC105373451",2.40970860249718,-0.00376758895399443,0.0880763615768987,0.472932122958721,NA
"19220","LOC105373454",10.394178092869,0.0045939358329285,0.0876431608690869,0.666289753699503,NA
"19221","LOC105373455",4.1908159259347,0.000599040294947542,0.0878306787427112,0.934622904869107,NA
"19222","LOC105373456",8.20548407514529,-0.00128963610427844,0.0875943894345084,0.890692690843977,NA
"19223","LOC105373458",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
"19224","LOC105373459",0,NA,NA,NA,NA
"19225","LOC105373461",0,NA,NA,NA,NA
"19226","LOC105373465",10.4203997030372,0.0010427371858954,0.0874976918282406,0.922608383984466,NA
"19227","LOC105373466",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19228","LOC105373467",0.202840989334563,-0.00108991767016855,0.0881130110604093,0.746531066691514,NA
"19229","LOC105373475",0.401321247653155,-0.00168127426906453,0.0881245309849208,0.52263907485803,NA
"19230","LOC105373479",1.19164665164583,0.0025407564749879,0.0881034293847956,0.456201900238512,NA
"19231","LOC105373480",1.00657701954739,-0.00185893294131702,0.0880707864975804,0.59921781865072,NA
"19232","LOC105373481",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19233","LOC105373484",0,NA,NA,NA,NA
"19234","LOC105373485",0,NA,NA,NA,NA
"19235","LOC105373487",0.401120128551773,-0.000351422209589845,0.0880879480294254,0.889604290344797,NA
"19236","LOC105373488",0.800261010696943,-0.00213376912885881,0.0881084196513872,0.450488551714535,NA
"19237","LOC105373490",6.23345433051609,-0.00806852693638067,0.0882510095860073,0.341393859258853,NA
"19238","LOC105373492",0,NA,NA,NA,NA
"19239","LOC105373493",0,NA,NA,NA,NA
"19240","LOC105373494",0,NA,NA,NA,NA
"19241","LOC105373496",0,NA,NA,NA,NA
"19242","LOC105373499",0,NA,NA,NA,NA
"19243","LOC105373501",0,NA,NA,NA,NA
"19244","LOC105373504",0.204135643342458,0.000685711369673061,0.0881087752868939,0.837474598311692,NA
"19245","LOC105373506",0.200660623826578,-0.00108687027887437,0.0881129383326765,0.74786877943566,NA
